Date,Startup,Industry,Location,Investors,Investment_Type, Amount_USD 
04-10-16,InnerChef,Consumer Internet,Gurgaon,"Mistletoe, M&S Partners",Private Equity,"25,00,000"
04-10-16,AppsDaily,Consumer Internet,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"37,50,000"
05-10-16,UE LifeSciences,Technology,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"12,00,000"
06-10-16,RealBox,Technology,Noida,Hyderabad Angels,Seed Funding,"3,00,000"
06-10-16,GoZefo,eCommerce,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,"10,50,000"
07-10-16,RayIOT,Technology,Bangalore,HAX Accelerator,Seed Funding,"1,00,000"
07-10-16,KOOH Sports,Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,"22,00,000"
07-10-16,Flexiloans,Consumer Internet,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"1,50,00,000"
10-10-16,Vithi.com,eCommerce,New Delhi,undisclosed investor,Seed Funding,"3,75,000"
11-10-16,Yupp TV,Consumer Internet,Bangalore,Emerald Media,Private Equity,"5,00,00,000"
11-10-16,Deyor Camps,Consumer Internet,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"5,00,000"
13-10-16,FabAlley,ecommerce,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"20,00,000"
13-10-16,RoboVac,Technology,Ahmedabad,Virendra Patel,Seed Funding,"4,50,000"
14-10-16,Newspatrolling,Consumer Internet,New Delhi,Undisclosed,Seed Funding,25000
14-10-16,Postman,Consumer Internet,Bangalore,Nexus Venture Partners,Private Equity,"70,00,000"
14-10-16,ISFC,Finance,Hyderabad,Gray Matters Capital,Private Equity,"60,00,000"
15-10-16,DailyHunt,Consumer Internet,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,"2,50,00,000"
15-10-16,Tazzo Bikes,Consumer Internet,Hyderabad,DSG Consumer Partners,Seed Funding,"2,27,000"
15-10-16,MyKindofJob,Consumer Internet,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"10,00,000"
17-10-16,Yumigo,Consumer Internet,Gurgaon,Hemant Sahni,Seed Funding,"3,00,000"
17-10-16,Rentalpha,Others,Mumbai,Bravia Capital,Private Equity,"1,60,00,000"
18-10-16,3Dexter,Technology,New Delhi,Newbie Promoters,Seed Funding,"1,50,000"
18-10-16,MySUN,Technology,Noida,General Catalyst Partners,Private Equity,"25,00,000"
19-10-16,Furlenco,Consumer Internet,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,"3,00,00,000"
19-10-16,Fisdom,Consumer Internet,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"11,00,000"
19-10-16,Actofit,Technology,Mumbai,Next Orbit Ventures Fund,Private Equity,"7,50,000"
21-10-16,ChatOnGo,Consumer Internet,Mumbai,Janak Jain,Seed Funding,"3,00,000"
24-10-16,Healthians,Consumer Internet,Gurgaon,BEENEXT,Private Equity,"30,00,000"
24-10-16,Box8,Consumer Internet,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"75,00,000"
25-10-16,Kredx,eCommerce,Bangalore,Sequoia Capital,Private Equity,"60,00,000"
25-10-16,CreditMate,Consumer Internet,Mumbai,India Quotient,Seed Funding,"5,00,000"
25-10-16,SooperMO,Technology,Gurgaon,Lalit Vase,Seed Funding,"1,00,000"
26-10-16,OrangeTwig,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,"10,00,000"
26-10-16,The Kettlery,eCommerce,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"10,00,000"
27-10-16,Idea Bubbles,Consumer Internet,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"7,00,000"
27-10-16,FR8,Technology,Chennai,Omnivore Partners,Private Equity,"9,71,000"
27-10-16,Ather Energy,Technology,Bangalore,Hero MotoCorp,Private Equity,"2,70,00,000"
29-10-16,Velmenni,Technology,New Delhi,Kalaari Capital,Seed Funding,"1,00,000"
29-10-16,Volta Motors,Technology,Chennai,Kalaari Capital,Seed Funding,"1,00,000"
29-10-16,Cyclops,Technology,Bangalore,Kalaari Capital,Seed Funding,"1,00,000"
30-10-16,Impact Analytics,Technology,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"7,50,000"
31-10-16,Talent Next,Consumer Internet,Mumbai,Karanpal Singh & Others,Seed Funding,"10,00,000"
01-11-16,PickMyLaundry,Consumer Internet,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,"2,00,000"
02-11-16,FreshDesk,Consumer Internet,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,"5,50,00,000"
02-11-16,LaundryAnna,Consumer Internet,Bangalore,Undisclosed Investors,Seed Funding,"1,50,000"
03-11-16,Zarget,Technology,Chennai,Sequoia India,Private Equity,"60,00,000"
03-11-16,EasyPolicy,Consumer Internet,Noida,"Unilazer Ventures,",Private Equity,"1,00,00,000"
04-11-16,Connect India,Logistics,Bangalore,Aavishkaar Venture Management,Private Equity,"10,00,000"
04-11-16,Corseco,Technology,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,"1,50,000"
05-11-16,Medzin,eCommerce,New Delhi,A M Sikander,Seed Funding,45000
05-11-16,Bizongo,eCommerce,Mumbai,"IDG Ventures, Accel Partners",Private Equity,"30,00,000"
07-11-16,Rivigo,Technology,Gurgaon,Warburg Pincus,Private Equity,"7,50,00,000"
07-11-16,JustRide,Consumer Internet,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,"30,00,000"
09-11-16,IIM Jobs,Consumer Internet,New Delhi,India Quotient,Private Equity,"20,00,000"
09-11-16,Square Yards,Consumer Internet,Gurgaon,ADAG Reliance Private Equity,Private Equity,"1,20,00,000"
10-11-16,GolfLAN,Consumer Internet,New Delhi,"YourNest Angel Fund, iSON",Private Equity,"10,00,000"
14-11-16,Active.ai,Technology,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,"30,00,000"
14-11-16,ElasticRun,Technology,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"20,00,000"
15-11-16,Zefo,eCommerce,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,"60,00,000"
15-11-16,PlaySimple,Technology,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,"40,00,000"
16-11-16,Stasis Labs,Technology,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,"50,00,000"
17-11-16,Koovs,eCommerce,New Delhi,Times of India Group & Existing investors,Private Equity,"1,35,00,000"
17-11-16,Pictor Imaging,Consumer Internet,Mumbai,Quarizon,Seed Funding,"1,47,000"
18-11-16,GramCover,Finance,New Delhi,Omnivore Capital,Seed Funding,"10,00,000"
21-11-16,Bats on delivery,Consumer Internet,Gurgaon,Devdeep Singh,Seed Funding,90000
21-11-16,numberz.in,Technology,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,"6,50,000"
22-11-16,Housing.com,Consumer Internet,Mumbai,Softbank Group,Private Equity,"50,00,000"
22-11-16,Awesummly,Consumer Internet,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,"1,47,000"
22-11-16,Vymo,Technology,Bangalore,Sequoia India,Private Equity,"50,00,000"
22-11-16,Noddapp,Consumer Internet,Mumbai,Undisclosed multiple investors,Seed Funding,"1,47,000"
23-11-16,Knowlarity,Consumer Internet,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,"2,00,00,000"
23-11-16,Infisecure,Technology,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,"6,00,000"
23-11-16,Udaan,eCommerce,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,"1,00,00,000"
24-11-16,ShareChat,Consumer Internet,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,"40,00,000"
28-11-16,Kloseby,Consumer Internet,Bangalore,Undisclosed Investor,Seed Funding,"1,00,000"
28-11-16,WholeSaleBox,eCommerce,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,"20,00,000"
29-11-16,Affordplan,Consumer Internet,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,"30,00,000"
30-11-16,HandyTrain,Consumer Internet,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,"10,00,000"
30-11-16,ShopsUp,eCommerce,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,"9,63,000"
30-11-16,Indofash,eCommerce,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,"1,50,000"
30-11-16,Entropika,Technology,Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,"2,00,000"
30-11-16,MarianaIQ,Technology,Bangalore,Exfinity Venture Partners,Private Equity,"20,00,000"
30-11-16,Chai Thela,Food & Beverage,Noida,Quarizon,Seed Funding,"2,18,000"
30-11-16,Interviewpad,Technology,Pune,Krishna Rokhale,Seed Funding,"1,00,000"
30-11-16,Math Buddy,Consumer Internet,Vadodara,Menterra Social Impact Fund,Seed Funding,"4,40,000"
30-11-16,Pulse,Consumer Internet,Bangalore,SAIF Partners,Private Equity,"5,00,000"
30-11-16,Carcrew.in,Consumer Internet,Mumbai,TVS Group,Seed Funding,"5,00,000"
01-12-16,SidQam,Technology,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,"12,00,000"
01-12-16,India Lends,Consumer Internet,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,"40,00,000"
01-12-16,Slide App,Consumer Internet,New Delhi,Songhyun Investment,Private Equity,"36,00,000"
02-12-16,Badiyajobs,Consumer Internet,New Delhi,Undisclosed,Seed Funding,"1,00,000"
02-12-16,TYGR,Technology,Mumbai,Franchise India,Private Equity,"30,00,000"
05-12-16,UrDoorStep,eCommerce,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,"14,00,000"
06-12-16,Diro Labs,Consumer Internet,New Delhi,Info Edge (India),Seed Funding,"1,47,000"
07-12-16,Revv,Consumer Internet,New Delhi,Edelweiss Private Equity,Private Equity,"90,00,000"
07-12-16,WealthApp,Consumer Internet,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,"4,40,000"
08-12-16,Zest Money,Consumer Internet,Mumbai,PayU,Private Equity,"65,00,000"
08-12-16,GoMechanic,Consumer Internet,Gurgaon,Venture Catalysts,Seed Funding,"2,50,000"
09-12-16,Stalk Buy Love,eCommerce,New Delhi,Kalaari Capital,Private Equity,"60,00,000"
09-12-16,Wittyparot,Technology,Bangalore,Mumbai Angels,Seed Funding,"4,50,000"
09-12-16,NeuroEquilibrium,Technology,Jaipur,Unicorn India Ventures,Seed Funding,"2,50,000"
12-12-16,Xseed Education,Technology,Bangalore,Verlinvest SA,Private Equity,"1,00,00,000"
12-12-16,Rupaiya Exchange,Consumer Internet,New Delhi,Undisclosed Investors,Seed Funding,"2,00,000"
12-12-16,Doctor Insta,Consumer Internet,Gurgaon,RoundGlass Partners,Private Equity,"20,00,000"
12-12-16,Fresh Food Concepts,Food & Beverage,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,"20,00,000"
13-12-16,Indifi,Consumer Internet,Gurgaon,Omidyar Network,Private Equity,"1,00,00,000"
13-12-16,OfBusiness,eCommerce,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,"1,11,00,000"
14-12-16,Qacco,Consumer Internet,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,"1,50,000"
14-12-16,Fitpass,Consumer Internet,New Delhi,Mumbai Angels,Seed Funding,"10,00,000"
14-12-16,Trading Bells,Consumer Internet,Indore,Swastika Investmart Ltd,Seed Funding,"2,97,000"
15-12-16,SERV\\xe2\\x80\\x99D,Consumer Internet,Pune,Digital Financial Service Lab,Seed Funding,"1,00,000"
15-12-16,IdeaForge,Technology,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,"1,00,00,000"
15-12-16,Amagi Media Labs,Technology,Mumbai,"Emerald Media, Premji Invest",Private Equity,"3,50,00,000"
15-12-16,Pocket Aces,Technology,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,"30,00,000"
16-12-16,Pi Data Centers,Technology,Hyderabad,Epsilon Venture Partners,Private Equity,"2,30,00,000"
16-12-16,TripShelf,Consumer Internet,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,"1,23,000"
19-12-16,NoBroker,Consumer Internet,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,"74,00,000"
20-12-16,VivoCarat,eCommerce,Mumbai,Undisclosed Investors,Seed Funding,50000
20-12-16,BYJU\\xe2\\x80\\x99s,Consumer Internet,Bangalore,International Financial Corporation,Private Equity,"1,50,00,000"
21-12-16,The BlueBook,Consumer Internet,Bangalore,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture",Seed Funding,"5,00,000"
21-12-16,Vegetall,eCommerce,Chennai,The Chennai Angels,Seed Funding,"1,62,000"
22-12-16,Mindler,Consumer Internet,New Delhi,Taxmann,Seed Funding,"3,24,000"
22-12-16,MCaffeine,eCommerce,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,"3,00,000"
23-12-16,enKast,Technology,Bangalore,Ivy League Alumni Angel Network,Private Equity,"20,00,000"
26-12-16,Dekkho,Consumer Internet,Mumbai,undisclosed investors,Seed Funding,"12,00,000"
26-12-16,Shadowfox,Logistics,Gurgaon,Eight Roads Ventures,Private Equity,"1,00,00,000"
27-12-16,ShopX,eCommerce,Bangalore,Nandan Nilekani,Private Equity,"50,00,000"
29-12-16,Healthifyme,Consumer Internet,Bangalore,NB Ventures,Private Equity,"10,00,000"
02-01-17,TaxSutra,Consumer Internet,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"3,66,000"
03-01-17,TempoGo,Technology,Panaji,K2 Capital,Seed Funding,"8,25,000"
06-01-17,Leap India,Logistics,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"1,30,00,000"
07-01-17,FreeCharge,Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,"5,70,00,000"
09-01-17,TicketNew,Consumer Internet,Chennai,Alibaba Pictures,Private Equity,"3,50,00,000"
10-01-17,Intelligence Node,Technology,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,"8,00,000"
10-01-17,Securens,Technology,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,"50,00,000"
10-01-17,Loan Frame,Consumer Internet,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"22,50,000"
10-01-17,Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"1,00,000"
10-01-17,LensKart,eCommerce,Bangalore,Ronnie Screwvala,Private Equity,"35,00,000"
12-01-17,Hansel.io,Consumer Internet,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,"13,50,000"
12-01-17,Square Yards,Consumer Internet,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,"1,00,00,000"
13-01-17,Roambee,Technology,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,"41,00,000"
13-01-17,iService,Consumer Internet,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"4,40,000"
14-01-17,Unacademy,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"45,00,000"
16-01-17,ZoloStays,Consumer Internet,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,"50,00,000"
16-01-17,HipCouch,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,"7,00,000"
17-01-17,Curiositi,Consumer Internet,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"8,00,000"
17-01-17,TinyStep,Consumer Internet,Bangalore,Flipkart,Private Equity,"20,00,000"
17-01-17,Practo,Consumer Internet,Bangalore,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,"5,50,00,000"
17-01-17,Ketchupp,Consumer Internet,New Delhi,India Quotient and others,Seed Funding,"4,41,000"
17-01-17,Hoopy,Consumer Internet,Gwalior,undisclosed investors,Seed Funding,"5,00,000"
17-01-17,Ezytruk,Consumer Internet,Bangalore,"Ajith Nair, Anish K",Seed Funding,"1,47,000"
18-01-17,Vahdam Teas,eCommerce,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"6,50,000"
18-01-17,Qwikspec,Technology,Bangalore,Undisclosed Investors,Seed Funding,"3,00,000"
19-01-17,Weddingz.in,Consumer Internet,Mumbai,Singularity Ventures,Private Equity,"10,00,000"
22-01-17,MessaGif,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,50000
23-01-17,CueMath,Technology,New Delhi,"CapitalG, Sequoia India",Private Equity,"1,50,00,000"
24-01-17,Khel Now,Consumer Internet,Bangalore,Indochine International,Private Equity,"5,00,000"
24-01-17,NowFloats,Consumer Internet,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"1,00,00,000"
24-01-17,Lets Transport,Consumer Internet,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,"40,00,000"
25-01-17,RML Agtech,Technology,Pune,IvyCap Ventures,Private Equity,"40,00,000"
25-01-17,InstaSafe,Technology,Bangalore,ABM Knowledgeware,Private Equity,"22,00,000"
25-01-17,Infibeam,eCommerce,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"88,00,000"
26-01-17,AirMed Labs,Consumer Internet,Ahmedabad,Brand Capital,Private Equity,"14,00,000"
26-01-17,99PerHour,Consumer Internet,Chennai,V Aanand R,Seed Funding,"3,00,000"
30-01-17,Intuit Things,Technology,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"1,06,000"
30-01-17,Cloudrino,Technology,New Delhi,The Ten Minute Million,Seed Funding,22500
30-01-17,FabX,eCommerce,Mumbai,The Ten Minute Million,Seed Funding,68000
30-01-17,Maptags,Consumer Internet,Bangalore,The Ten Minute Million,Seed Funding,18000
31-01-17,Heads Up For Tails,eCommerce,New Delhi,Undisclosed Investors,Private Equity,"20,00,000"
06-02-17,Capital Float,Consumer Internet,Bangalore,IFMR Capital Finance,Private Equity,"25,00,000"
07-02-17,Inner Hour,Consumer Internet,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,"4,50,000"
07-02-17,Travel Triangle,Consumer Internet,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,"1,00,00,000"
08-02-17,Wandertrails,Consumer Internet,Bangalore,Earlsfield Capital,Seed Funding,"10,00,000"
08-02-17,Zenatix,Technology,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,"12,00,000"
08-02-17,Cartrade,Consumer Internet,Mumbai,Temasek Holdings,Private Equity,"5,50,00,000"
08-02-17,Edurev,Consumer Internet,Gurgaon,Facebook FB Start programme,Seed Funding,40000
09-02-17,Voonik,ECommerce,Bangalore,"RB Investments, Sequoia Capital",Private Equity,"60,00,000"
09-02-17,Wooplr,ECommerce,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,"80,00,000"
10-02-17,48East,ECommerce,Bangalore,Al Dhaheri family,Private Equity,"5,00,000"
13-02-17,Sigtuple,Technology,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,"58,00,000"
13-02-17,Flutura,Technology,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,"75,00,000"
13-02-17,Wassup,Consumer Internet,Chennai,Anil Jain & other HNIs,Private Equity,"32,00,000"
13-02-17,Better Mortgage,Consumer Internet,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,"1,50,00,000"
13-02-17,Nurturey,Consumer Internet,New Delhi,Mohit Joshi & Others,Seed Funding,"3,30,000"
13-02-17,Fyle,Technology,Bangalore,Pravega Ventures,Seed Funding,"4,00,000"
14-02-17,GoBumpr,Consumer Internet,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,"3,00,000"
14-02-17,CCAvenue,Consumer Internet,Mumbai,Infibeam,Private Equity,"2,24,00,000"
15-02-17,ZestMoney,Consumer Internet,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,"65,00,000"
15-02-17,AirZaar,Technology,Missourie,Quake Capital,Seed Funding,"3,50,000"
16-02-17,Truebil,Consumer Internet,Mumbai,Shunwei Capital,Private Equity,"30,00,000"
16-02-17,YourStory,Consumer Internet,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,"30,00,000"
17-02-17,Imaginate,Technology,Hyderabad,SRI Capital,Seed Funding,"5,00,000"
17-02-17,The Ken,Consumer Internet,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,"4,00,000"
17-02-17,Urban Ladder,ECommerce,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,"1,52,00,000"
17-02-17,Leopetra,eCommerce,Mumbai,Facebook FBStart,Seed Funding,40000
18-02-17,Blood n Care,Consumer Internet,Gurgaon,Facebook FBStart,Seed Funding,40000
20-02-17,Flipkart,eCommerce,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,"3,87,00,000"
21-02-17,True Balance,Consumer Internet,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,"1,50,00,000"
22-02-17,Vebbler,Consumer Internet,Bangalore,Facebook FBStart,Seed Funding,40000
23-02-17,Get My Parking,Consumer Internet,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,"11,00,000"
27-02-17,Biryani By Kilo,Consumer Internet,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,"3,75,000"
27-02-17,Johari Shop,ECommerce,Bangalore,Undisclosed Investors,Seed Funding,94000
28-02-17,NeoStencil,Consumer Internet,New Delhi,"Brand Capital, Paragon Trust",Private Equity,"10,00,000"
28-02-17,Blackbuck,Logistics,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,"7,00,00,000"
01-03-17,Ola,Consumer Internet,Bangalore,SoftBank Group Corp,Private Equity,"33,00,00,000"
01-03-17,Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private Equity,"1,00,00,000"
02-03-17,Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"15,00,000"
02-03-17,Karomi,Technology,Chennai,Ideaspring Capital,Seed Funding,"5,00,000"
02-03-17,Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private Equity,"25,00,000"
02-03-17,CreditMantri,Consumer Internet,Chennai,Quona Capital,Private Equity,"76,00,000"
03-03-17,Tydy,Technology,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,"2,75,000"
03-03-17,Oho Shop,Technology,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"67,00,000"
03-03-17,Paytm Marketplace,ECommerce,Bangalore,Alibaba,Private Equity,"20,00,00,000"
04-03-17,iGenetics,Healthcare,Mumbai,CDC Group Plc,Private Equity,"1,95,00,000"
06-03-17,Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed Funding,"12,00,000"
06-03-17,Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,"1,50,000"
06-03-17,PickMe,Consumer Internet,Mumbai,SIDBI Venture Capital Fund,Private Equity,"17,90,000"
07-03-17,Agrostar,Technology,Pune,Accel Partners,Private Equity,"1,00,00,000"
07-03-17,Zapr,Technology,Bangalore,Star India Pvt Ltd,Private Equity,"1,00,00,000"
07-03-17,Data Resolve,Technology,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,"10,00,000"
07-03-17,Book Servicing,Consumer Internet,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000
07-03-17,Blowhorn,Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,"36,50,000"
08-03-17,Rivigo,Logistics,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,"1,50,00,000"
08-03-17,PipeCandy,Technology,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,"11,00,000"
08-03-17,Supr Daily,Consumer Internet,Mumbai,Y Combinator,Seed Funding,"1,20,000"
09-03-17,AppBrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed Funding,"5,00,000"
09-03-17,MagicBricks,Consumer Internet,Mumbai,Times Internet Ltd,Private Equity,"45,00,000"
10-03-17,PeeBuddy,Healthcare,New Delhi,Indian Angel Network,Seed Funding,"4,43,000"
10-03-17,Lavelle Networks,Technology,Bangalore,Ideaspring Capital,Seed Funding,"6,00,000"
15-03-17,LatestOne,eCommerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,"33,50,000"
15-03-17,Frapperz,Consumer Internet,Kolkata,Undisclosed Investor,Seed Funding,"1,00,000"
16-03-17,mPaani,Consumer Internet,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,"13,50,000"
16-03-17,POPxo,Consumer Internet,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,"31,00,000"
16-03-17,Fitso,Consumer Internet,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,"2,00,000"
21-03-17,Flipkart,eCommerce,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,"1,40,00,00,000"
21-03-17,Airpay,Technology,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,"36,70,000"
21-03-17,MyGlamm,Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,"53,00,000"
22-03-17,Haqdarshak,Consumer Internet,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,"1,91,000"
23-03-17,Ixigo,Consumer Internet,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,"1,50,00,000"
23-03-17,Markets and Markets,Technology,Pune,"FTV Capital, Zodius Capital",Private Equity,"5,60,00,000"
24-03-17,Bizom,Technology,Bangalore,Ojas Ventures,Seed Funding,"3,82,000"
24-03-17,Delhivery,Technology,New Delhi,"Carlyle Group, Tiger Global",Private Equity,"10,00,00,000"
28-03-17,Fynd,ECommerce,Mumbai,Venture Catalysts,Private Equity,"5,00,000"
